timestamp_utc,est_time,market,decision,buy_side,entry_price,exit_price,pnl,outcome,entry_remaining_secs,secs_to_60c,secs_to_70c,leader_bid_depth,leader_bid_70plus,other_bid_depth,depth_ratio,spread_at_buy,bid_levels_at_buy,btc_start,btc_at_buy,btc_at_end,btc_move_dollars,avg_spread,max_spread,spread_widened_before_exit,prev_window_side,prev_window_outcome,was_choppy,yes_high,no_high
2026-03-06 04:24:22,23:24:22,"Bitcoin Up or Down - March 5, 11:20PM-11:25PM ET",buy,Down,0.74,0.15,-15.95,sl,110.0,102.9,185.3,6240.0,1229.0,1283.0,4.86,0.01,74,70936.0,70890.89,70947.04,11.04,0.0155,0.05,True,Down,tp,True,0.81,0.74
2026-03-06 04:29:21,23:29:21,"Bitcoin Up or Down - March 5, 11:25PM-11:30PM ET",buy,Down,0.86,0.98,2.79,tp,173.0,82.6,92.9,8164.0,2960.0,786.0,10.39,0.01,86,70954.33,70886.6,70891.19,63.14,0.01,0.01,False,Down,sl,False,0.48,0.98
2026-03-06 04:33:59,23:33:59,"Bitcoin Up or Down - March 5, 11:30PM-11:35PM ET",buy,Down,0.78,0.17,-15.64,sl,174.0,71.9,92.6,8930.0,2595.0,1325.0,6.74,0.01,78,70871.89,70806.95,70907.08,35.19,0.0106,0.02,False,Down,tp,True,0.82,0.88
2026-03-06 04:37:45,23:37:45,"Bitcoin Up or Down - March 5, 11:35PM-11:40PM ET",buy,Down,0.79,0.94,3.8,tp,176.0,61.5,82.2,8041.0,2389.0,1235.0,6.51,0.01,79,70906.61,70834.11,70770.71,135.9,0.0118,0.02,False,Down,sl,False,0.34,0.94
2026-03-06 04:45:07,23:45:07,"Bitcoin Up or Down - March 5, 11:40PM-11:45PM ET",skip-no-leader,,0.0,0.0,0.0,skipped-no-leader,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70714.76,0.0,70507.42,207.34,0.0075,0.02,False,Down,tp,False,0.08,1.0
2026-03-06 04:49:35,23:49:35,"Bitcoin Up or Down - March 5, 11:45PM-11:50PM ET",buy,Up,0.73,0.94,5.75,tp,169.0,123.5,123.5,7184.0,541.0,1153.0,6.23,0.01,73,70507.42,70570.36,70568.29,60.87,0.0162,0.12,False,Down,tp,False,0.94,0.54
2026-03-06 04:54:03,23:54:03,"Bitcoin Up or Down - March 5, 11:50PM-11:55PM ET",buy,Up,0.79,0.18,-15.44,sl,129.0,61.5,82.1,8681.0,2938.0,1293.0,6.71,0.01,79,70555.53,70599.64,70525.93,29.6,0.0111,0.03,False,Up,tp,True,0.86,0.81
2026-03-06 05:00:03,00:00:03,"Bitcoin Up or Down - March 5, 11:55PM-12:00AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70509.73,0.0,70613.61,103.88,0.01,0.02,False,Up,sl,True,0.99,0.68
2026-03-06 05:05:01,00:05:01,"Bitcoin Up or Down - March 6, 12:00AM-12:05AM ET",skip-choppy,,0.0,0.0,0.0,skipped-choppy,0.0,0,0,0.0,0.0,0.0,0,0.0,0,70613.61,0.0,70640.63,27.02,0.0148,0.06,True,Up,sl,True,0.93,0.75
2026-03-06 05:08:17,00:08:17,"Bitcoin Up or Down - March 6, 12:05AM-12:10AM ET",buy,Down,0.71,0.96,7.04,tp,133.0,71.9,164.8,5216.0,145.0,1144.0,4.56,0.01,71,70640.63,70535.72,70472.83,167.8,0.015,0.05,False,Up,sl,False,0.48,0.96
2026-03-06 05:14:28,00:14:28,"Bitcoin Up or Down - March 6, 12:10AM-12:15AM ET",buy,Down,0.78,0.16,-15.9,sl,176.0,71.9,92.5,7653.0,1199.0,1299.0,5.89,0.01,78,70503.64,70407.1,70512.89,9.25,0.0152,0.06,True,Down,tp,True,0.78,0.82
